Time [],C1.V [],L1.I []
0.0002451,12.50928384,2.655916805
0.0002456,12.51265338,2.650790271
0.0002466,12.51912852,2.640472452
0.0002476,12.52507539,2.630030413
0.0002486,12.53049337,2.619474726
0.0002496,12.53538236,2.608815968
0.0002499,12.53674593,2.605599585
0.00025,12.53718988,2.604525647
0.0002501,12.53762855,2.603450829
0.0002506,12.5396767,2.598054062
0.0002516,12.54350941,2.587222201
0.0002526,12.54681568,2.57631895
0.0002536,12.5495973,2.56535482
0.0002546,12.55185649,2.554340282
0.0002549,12.55243269,2.551027417
0.000255,12.55261437,2.549922368
0.0002551,12.55279087,2.548816963
0.0002556,12.55353122,2.54328165
0.0002566,12.55475448,2.532198793
0.0002576,12.55546474,2.521096601
0.0002586,12.55566601,2.509985294
0.000259539,12.5553953,2.499547654
0.0002599,12.55517385,2.495543274
0.00026,12.55510094,2.494432997
0.0002601,12.55502306,2.493322873
0.0002606,12.55449757,2.487777897
0.0002616,12.55320073,2.476700914
0.0002626,12.55141511,2.465654756
0.0002636,12.54914673,2.454649137
0.0002646,12.54640203,2.44369365
0.0002649,12.54548658,2.440417986
0.000265,12.54517206,2.439327325
0.0002651,12.54485288,2.4382373
0.0002656,12.5431297,2.432806003
0.0002666,12.539454,2.421980166
0.0002676,12.53532348,2.411232391
0.0002686,12.53074599,2.400571697
0.0002696,12.5257297,2.39000694
0.0002699,12.52414032,2.386857332
0.00027,12.52360195,2.385809587
0.0002701,12.52305932,2.384762926
0.0002706,12.5202301,2.379560625
0.0002716,12.51436321,2.369214692
0.0002726,12.50808401,2.35899022
0.0002736,12.50140193,2.34889536
0.0002746,12.49432665,2.338938075
0.0002749,12.49212865,2.335978711
0.000275,12.49138835,2.334995192
0.0002751,12.49064427,2.334013159
0.0002756,12.4868211,2.329144948
0.0002766,12.47899086,2.319486828
0.0002776,12.47079809,2.309988939
0.0002786,12.46225347,2.300658423
0.0002796,12.45336794,2.291502209
0.0002799,12.4506372,2.288790196
0.00028,12.4497204,2.287889836
0.0002801,12.44880034,2.286991316
0.0002806,12.44411234,2.282550192
0.0002816,12.43457995,2.273763269
0.0002826,12.42474062,2.265170064
0.0002836,12.41460601,2.256776597
0.0002846,12.40418797,2.248588658
0.0002849,12.40100881,2.246173069
0.000285,12.39994371,2.245372115
0.0002851,12.39887594,2.244573295
0.0002856,12.39346561,2.240638639
0.0002866,12.38251835,2.232878799
0.0002876,12.37132405,2.225340376
0.0002886,12.35989506,2.218028184
0.0002896,12.34824386,2.210946795
0.0002899,12.34470676,2.208867945
0.00029,12.34352358,2.208179713
0.0002901,12.34233836,2.207493851
0.0002906,12.33635787,2.204130272
0.0002916,12.32430155,2.197523678
0.0002926,12.3120609,2.191160053
0.0002936,12.29964865,2.185042958
0.0002946,12.28707759,2.179175695
0.0002949,12.28327693,2.177464633
0.000295,12.28200717,2.176899348
0.0002951,12.28073601,2.176336605
0.0002956,12.27434338,2.173593171
0.0002966,12.26149476,2.168234789
0.0002976,12.24852578,2.163134584
0.0002986,12.23544929,2.158294833
0.0002996,12.22227809,2.153717559
0.0002999,12.21830988,2.152395796
0.0003,12.21698555,2.1519605
0.0003001,12.21566046,2.151527854
0.0003006,12.20901579,2.149437696
0.0003016,12.19569502,2.145390588
0.0003026,12.18231771,2.141610461
0.0003036,12.16889648,2.138098319
0.0003046,12.15544387,2.134854915
0.0003049,12.15140356,2.133934373
0.000305,12.15005645,2.133632913
0.0003051,12.14870921,2.133334147
0.0003056,12.14197104,2.131914437
0.0003066,12.12849447,2.129209782
0.0003076,12.11502358,2.126774601
0.0003086,12.1015705,2.124608661
0.0003096,12.08814724,2.122711483
0.0003099,12.08412759,2.122194659
0.00031,12.08278859,2.122027743
0.0003101,12.08145005,2.121863504
0.0003106,12.0747719,2.121115785
0.0003116,12.06144522,2.119753614
0.0003126,12.04818352,2.118657326
0.0003136,12.03499821,2.117825509
0.0003146,12.02190053,2.117256522
0.0003149,12.01798973,2.117136851
0.000315,12.01668815,2.117102173
0.0003151,12.01538759,2.117070097
0.0003156,12.00891482,2.116980949
0.0003166,11.99602673,2.116931534
0.0003176,11.98325885,2.117138678
0.0003186,11.97062163,2.117599873
0.0003196,11.95812533,2.118312403
0.0003199,11.95440521,2.118574812
0.00032,11.95316822,2.118667238
0.0003201,11.95193279,2.118762137
0.0003206,11.9457997,2.11930414
0.0003216,11.93361631,2.12050998
0.0003226,11.92160322,2.121957785
0.0003236,11.90976975,2.123644055
0.0003246,11.89812498,2.125565108
0.0003249,11.89466948,2.126186724
0.000325,11.89352163,2.126398533
0.0003251,11.89237579,2.126612636
0.0003256,11.88670318,2.127745604
0.0003266,11.87546309,2.130123941
0.0003276,11.86443738,2.132724937
0.0003286,11.85363409,2.135544222
0.0003296,11.84306096,2.138577271
0.0003299,11.83993487,2.139528283
0.00033,11.83889762,2.139849451
0.0003301,11.83786278,2.140172691
0.0003306,11.83275582,2.141845133
0.0003316,11.82266609,2.145290914
0.0003326,11.81282809,2.148935972
0.0003336,11.80324845,2.152775206
0.0003346,11.7939335,2.156803387
0.0003349,11.79119141,2.158048011
0.000335,11.79028282,2.158466538
0.0003351,11.78937696,2.158886878
0.0003356,11.78492361,2.161037642
0.0003366,11.77615653,2.165426841
0.0003376,11.7676713,2.169988562
0.0003386,11.75947305,2.174717119
0.0003396,11.75156659,2.179606722
0.0003399,11.74925214,2.181104265
0.00034,11.7484866,2.181606527
0.0003401,11.74772405,2.182110317
0.0003406,11.74399385,2.184670378
0.0003416,11.73668472,2.189863592
0.0003426,11.72967996,2.195199945
0.0003436,11.72298316,2.200673314
0.0003446,11.71659759,2.206277507
0.0003449,11.71474299,2.207983484
0.000345,11.71413109,2.208554611
0.0003451,11.71352234,2.209126957
0.0003456,11.71056571,2.2120213
0.0003466,11.70481147,2.217867529
0.0003476,11.69937637,2.22382565
0.0003486,11.69426244,2.229889262
0.0003496,11.6894714,2.236051924
0.0003499,11.68809725,2.237919217
0.00035,11.68764569,2.238543475
0.0003501,11.68719738,2.239168632
0.0003506,11.68504532,2.242318179
0.0003516,11.68090411,2.248658684
0.0003526,11.67708908,2.255078752
0.0003536,11.67360073,2.261571854
0.0003546,11.67043926,2.268131454
0.0003549,11.66955457,2.270111471
0.000355,11.6692662,2.270772652
0.0003551,11.6689811,2.271434405
0.0003556,11.6676454,2.274757951
0.0003566,11.66513702,2.281430127
0.0003576,11.66295432,2.288149213
0.0003586,11.66109632,2.294908707
0.0003596,11.65956175,2.301702126
0.0003599,11.65916427,2.303745947
0.00036,11.65903821,2.304427745
0.0003601,11.65891536,2.305109792
0.0003606,11.65838918,2.3085259
0.0003616,11.65749636,2.315367045
0.0003626,11.65692151,2.322222866
0.0003636,11.65666226,2.329087028
0.0003646,11.656716,2.335953246
0.0003649,11.6567928,2.338012718
0.000365,11.65682459,2.338699102
0.0003651,11.65685947,2.339385418
0.0003656,11.65711835,2.342814234
0.0003666,11.65778876,2.349665163
0.0003676,11.65876273,2.356499648
0.0003686,11.66003662,2.363311655
0.0003696,11.66160658,2.370095223
0.0003699,11.66213479,2.372123997
0.00037,11.66231669,2.372799547
0.0003701,11.66250148,2.373474729
0.0003706,11.66350464,2.376839683
0.0003716,11.66565364,2.3835481
0.0003726,11.66808571,2.390210706
0.0003736,11.67079608,2.396821889
0.0003746,11.67377978,2.40337613
0.0003749,11.67472754,2.405330607
0.000375,11.6750488,2.405980832
0.0003751,11.67537273,2.40663041
0.0003756,11.6770647,2.409859763
0.0003766,11.68057867,2.41628333
0.0003776,11.68434984,2.422634044
0.0003786,11.68837249,2.428906821
0.0003796,11.69264069,2.435096689
0.0003799,11.69396827,2.436936861
0.00038,11.69441556,2.437548479
0.0003801,11.69486522,2.438159198
0.0003806,11.69717777,2.44118742
0.0003816,11.70191787,2.447196464
0.0003826,11.70688479,2.453108437
0.0003836,11.71207197,2.45891887
0.0003846,11.71747273,2.464623423
0.0003849,11.71913374,2.466313602
0.000385,11.71969153,2.466874778
0.0003851,11.72025135,2.467434835
0.0003856,11.7231055,2.47020378
0.0003866,11.72891195,2.475683606
0.0003876,11.73491114,2.481045375
0.0003886,11.7410959,2.486285304
0.0003896,11.74745894,2.491399756
0.0003899,11.74940169,2.492909173
0.00039,11.75005267,2.49340972
0.0003901,11.75070532,2.493908962
0.0003906,11.75401364,2.496368825
0.0003916,11.76071013,2.501221587
0.0003926,11.76756254,2.505938861
0.0003936,11.77456325,2.510517603
0.0003946,11.78170459,2.514954924
0.0003949,11.78387344,2.516258189
0.000395,11.78459901,2.516689718
0.0003951,11.78532589,2.517119793
0.0003956,11.78899477,2.519229845
0.0003966,11.79639314,2.523375966
0.0003976,11.80390879,2.527372947
0.0003986,11.81153386,2.53121852
0.0003996,11.81926045,2.534910577
0.0003999,11.82159723,2.535988003
0.0004,11.82237799,2.536344029
0.0004001,11.82315966,2.536698491
0.0004006,11.82709169,2.538427574
0.0004016,11.83499662,2.541806691
0.0004026,11.84297931,2.545026932
0.0004036,11.85103184,2.548086821
0.0004046,11.8591463,2.550985039
0.0004049,11.86159171,2.551822825
0.000405,11.8624079,2.552098826
0.0004051,11.86322459,2.552373193
0.0004056,11.86732086,2.553699984
0.0004066,11.8755345,2.556271431
0.0004076,11.88378645,2.558678221
0.0004086,11.89206887,2.560919668
0.0004096,11.90037402,2.562995239
0.0004099,11.90286901,2.56358551
